,Region_RU,Region_EN,AVG_Salary,Population,Unnamed: 4
0,Алтайский край,Altai Region,25960,218866,
1,Амурская область,Amur Region,43156,793194,
2,Архангельская область,Arkhangelsk Region,47526,1144119,
3,Астраханская область,Astrakhan Region,32166,1014065,
4,Белгородская область,Belgorod Region,31163,1547418,
5,Брянская область,Bryansk Region,27403,1200187,
6,Владимирская область,Vladimir Region,31647,1365805,
7,Волгоградская область,Volgograd Region,30097,2327821,
8,Вологодская область,Vologda Region,36081,1167713,
9,Воронежская область,Voronezh Region,31286,2327821,
10,г Москва,Moscow,78946,12615279,
11,г Санкт-Петербург,St Petersburg,58310,5383890,
12,г Севастополь,Sevastopol,31008,443212,
13,Еврейская АО,The Jewish Autonomous Region,39797,159913,
14,Забайкальский край,Zabaikalsky Region,40728,1065785,
15,Ивановская область,Ivanovo Region,26053,1004180,
16,Иркутская область,Irkutsk Region,42921,2397763,
17,Кабардино-Балкарская Республика,Kabardino-Balkar Republic,25318,866219,
18,Калининградская область,Kaliningrad Region,32473,1002187,
19,Калужская область,Kaluga Region,38005,1009380,
20,Камчатский край,Kamchatka,71553,314723,
21,Карачаево-Черкесская Республика,Karachay-Cherkess Republic,25699,465563,
22,Кемеровская область,Kemerovo Region,37857,2674256,
23,Кировская область,Kirov Region,27580,1272109,
24,Костромская область,Kostroma Region,27948,637267,
25,Краснодарский край,Krasnodar Region,33258,5648235,
26,Красноярский край,Krasnoyarsk Region,44692,2874026,
27,Курганская область,Kurgan Region,27887,834701,
28,Курская область,Kursk Region,30125,1107041,
29,Ленинградская область,Leningrad Region,42434,1847867,
30,Липецкая область,Lipetsk Region,30775,1144035,
31,Магаданская обл,Magadan Region,101662,141234,
32,Московская обл,Moscow Region,50135,7599647,
33,Мурманская обл,Murmansk Region,56005,748056,
34,Ненецкий АО,Nenets Autonomous Okrug,77277,43829,
36,Новгородская область,Novgorod Region,30820,600296,
38,Омская область,Omsk Region,32013,1944195,
39,Оренбургская область,Orenburg Region,29892,1963007,
41,Пензенская область,Penza Region,30112,1318103,
42,Пермский край,Perm Region,34809,2610800,
43,Приморский край,Primorsky Region,42026,1902718,
44,Псковская область,Pskov Region,27339,629651,
45,Республика Адыгея,Adygeya Republic,27455,454744,
46,Республика Алтай,Altai Republic,37764,218866,
47,Республика Башкортостан,Republic of Bashkortostan,33137,4051005,
48,Республика Бурятия,Republic of Buryatia,37867,983273,
49,Республика Дагестан,Republic of Dagestan,24550,3086126,
50,Республика Ингушетия,Ingush Republic,25663,497393,
51,Республика Калмыкия,Republic of Kalmykia,25719,272647,
52,Республика Карелия,Republic of Karelia,39755,618056,
53,Республика Коми,Republic of Komi,48316,830235,
54,Республика Крым,Republic of Crimea,28400,1911818,
55,Республика Марий Эл,Republic of Mari El,28232,680380,
56,Республика Мордовия,Republic of Mordovia,26999,795504,
57,Республика Саха (Якутия),The Republic of Sakha (Yakutia),65881,967009,
58,Республика Северная  Осетия - Алания,Republic of North Ossetia-Alania,26108,699253,
59,Республика Татарстан,Republic of tatarstan,35722,3898628,
60,Республика Тыва,Republic of tuva,35619,324423,
61,Республика Хакасия,Republic of Khakassia,37949,536167,
62,Ростовская область,Rostov Region,30647,4202320,
63,Рязанская область,Ryazan Region,31192,1114137,
64,Самарская область,Samara Region,33086,3183038,
65,Саратовская область,Saratov Region,26555,2440815,
66,Сахалинская обл,Sakhalin Region,73261,489638,
67,Свердловская область,Sverdlovsk Region,37605,4315699,
68,Смоленская область,Smolensk Region,29566,942363,
69,Ставропольский край,Stavropol Region,28256,2795243,
70,Тамбовская область,Tambov Region,26754,1015966,
71,Тверская область,Tver Region,30764,1269636,
72,Томская область,Tomsk Region,39707,1077442,
73,Тульская область,Tula Region,33933,1478818,
74,Тюменская обл,Tyumen Region,61937,3723969,
75,Удмуртская Республика,Udmurt Republic,31990,1507390,
76,Ульяновская область,Ulyanovsk Region,27927,1238416,
77,Хабаровский край,Khabarovsk Region,46583,1321473,
78,Ханты-Мансийский АО (Югра),Khanty-Mansiysk Autonomous Okrug (Ugra),62555,1663795,
79,Челябинская область,Chelyabinsk Region,34944,3475753,
80,Чеченская Республика,Republic of Chechnya,26108,1456951,
81,Чувашская Республика,Chuvash Republic,27028,1223395,
82,Чукотский АО,Chukotka AO,96930,49663,
83,Ямало-Ненецкий АО,Yamalo-Nenets Autonomous district,86560,541479,
84,Ярославская область,Yaroslavl Region,33882,1259612,
